,descricao
37,"Na quarta-feira, dia 10 de junho, a Prefeitura de São Paulo divulgou os números da Covid-19 por distrito registrados até 5 de junho. O maior número de mortes está nas regiões periféricas da cidade.  No episódio de hoje vamos falar sobre esses dados e refletir alguns dos motivos que fazem com que os mais pobres sejam os mais atingidos pela pandemia. Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/. Acesse, curta e compartilhe!  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da Covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
38,"No episódio de hoje vamos falar sobre uma mensagem produzida e divulgada no twitter pelo empresário Luciano Hang, um apoiador do presidente Bolsonaro, que tem sido compartilhada nas redes sociais. A mensagem tem como destaque um dado que diz que o Brasil superou o número de mortes da Itália. E, assim como é feito pelo presidente, questiona os métodos usados pela mídia para divulgação. Bora lá? Fica em casa, vai passar. ? Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no Facebook https://www.facebook.com/mandanoticias/. Acesse, curta e compartilhe!  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
39,"No episódio de hoje vamos falar sobre duas medidas tomadas pela Prefeitura de São Paulo na semana passada: as novas regras para o transporte público municipal e a reabertura de dois setores não essenciais. Ouça, curta e compartilhe! Beijo grande. Fica em casa, vai passar! Gisele Alexandre ? Se você quer ser incluído na lista de transmissão oficial e receber esse conteúdo toda semana por WhatsApp, manda uma mensagem no número (11) 98336-0334. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
40,"No episódio de hoje vamos conhecer 5 dicas para identificar uma notícia falsa sobre o novo coronavírus, conteúdo que foi elaborado pela Prefeitura de São Paulo na tentativa de combater as fake news.  Tem novidade chegando! Agora você também pode acompanhar todos os conteúdos do Manda Notícias no Facebook. Acesse, curta e compartilhe! https://www.facebook.com/mandanoticias/ ?  Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, no Podcasts app da Apple, na rádio online Mixtura e no @mandanoticias no Facebook.   O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
41,"No episódio de hoje o assunto é uma mensagem que tem circulado nas rede sociais sobre uma possível descoberta feita pelo Ministério da Saúde da Itália, um dos países mais afetados pelo novo coronavírus. ?? Será que a Covid-19 é mesmo um vírus?  Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
42,"Neste episódio vamos falar sobre o Plano São Paulo, que vai permitir em algumas cidade do estado a retomada de comércios e serviços não essenciais a partir de hoje, 1º de junho. Antes da gente conhecer os critério do Plano, é importante dizer que por enquanto nada muda aqui na capital.  Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
43,"Chegamos ao nosso *trigésimo episódio* e eu estou muito feliz em saber que *você se identifica e confia no conteúdo que trago aqui semanalmente*. Antes de mais nada quero *agradecer pela escuta* e por todos as mensagens que recebo diariamente com *comentários e sugestões*. Hoje vamos falar sobre a *importância do jornalismo*. Bora lá?  Beijo grande. Fica em casa, vai passar! _Gisele Alexandre_  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número *(11) 98336-0334*. Você também encontra todos os episódios no *Spotify*, na *rádio online Mixtura* e nas minhas redes sociais: *YouTube*, *Facebook* e *IGTV*.  _O *Manda Notícias* ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas._ "
44,"O mundo todo espera que seja encontrada a cura para a Covid-19. Mas, infelizmente, milagres não existem. A ciência mundial trabalha sem parar para que, em breve, isso seja possível. No episódio de hoje vamos falar sobre os boatos que circulam no WhatsApp e nas redes sociais afirmando que algumas plantas com propriedades milagrosas sejam a resposta para o combate do novo coronavírus. Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
45,"Na semana passada circulou no WhatsApp e nas redes sociais a informação sobre um decreto de lockdown para o estado de São Paulo, medida que não foi aprovada.  No episódio de hoje vamos falar sobre essa fake news que deixou muitos paulistas preocupados e tentar entender melhor o que é esse tal de lockdown. Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
46,"Na semana passada, Nelson Teich decidiu deixar o Ministério da Saúde. Apesar de não ter mencionado os motivos de sua saída, já se sabe que o ex-ministro e o presidente discordavam, entre outras coisas, sobre o uso da cloroquina e hidroxicloroquina para pacientes com sintomas iniciais da Covid-19.  No episódio de hoje vamos falar sobre o que aconteceu após a saída do ex-ministro e qual é a opinião da ANVISA sobre o uso desses medicamentos. Acompanhe e compartilhe! Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
47,"O Governo de São Paulo e a Prefeitura da capital tem adotado medidas para tentar reduzir a circulação das pessoas nas ruas. No domingo, 17 de maio, o prefeito Bruno Covas voltou atrás e decidiu suspender o rodízio de veículos no esquema par e ímpar. Confira no episódio de hoje como funciona o rodízio e quais são os profissionais isentos dessa restrição.  Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV.  O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
48,"Conforme anunciado na semana passada pelo Governo Federal, hoje começa a ser paga a 2ª parcela do Auxílio Emergencial para os trabalhadores que receberam a 1ª parcela até o dia de 30 de abril de 2020. Nesse episódio você vai conhecer em detalhes o calendário oficial divulgado pela Caixa Econômica Federal. Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
49,"No episódio de hoje a gente não vai falar sobre a Covid-19, mas vamos tratar de um problema social que por causa da quarentena tem se agravado: a violência contra mulher. Com o isolamento social, causado pela pandemia, a violência contra às mulheres em todo Brasil aumentou ainda mais e as denúncias no número 180 subiram 9%, segundo informações divulgadas pelo Governo Federal no início de abril.  Nesse podcast você vai conhecer os cinco tipos de violência descritos no  art. 5º da Lei Maria da Penha. Beijo grande. Fica em casa, vai passar! Gisele Alexandre  ? Se você recebeu este áudio de um amigo e quer ser incluído na lista de transmissão oficial, manda uma mensagem no número (11) 98336-0334. Você também encontra todos os episódios no Spotify, na rádio online Mixtura e nas minhas redes sociais: YouTube, Facebook e IGTV. O Manda Notícias ? é um projeto de jornalismo independente criado para o enfrentamento da covid-19, transmitido gratuitamente toda segunda, quarta e sexta-feira para mais de 500 pessoas. "
